Date,Open,High,Low,Close,Adj Close,Volume
2010-10-04,135.229996,135.919998,134.389999,135.250000,99.457764,4059900
2010-10-05,136.179993,137.899994,136.119995,137.660004,101.229988,6202500
2010-10-06,136.880005,137.960007,136.830002,137.839996,101.362350,4783000
2010-10-07,137.919998,138.880005,137.520004,138.720001,102.009476,6440800
2010-10-08,138.399994,139.089996,138.059998,138.850006,102.105095,4540800
2010-10-11,138.789993,139.940002,138.639999,139.660004,102.700722,4004300
2010-10-12,138.399994,139.990005,138.270004,139.850006,102.840439,5637300
2010-10-13,139.910004,141.479996,139.779999,140.369995,103.222816,8784300
2010-10-14,140.350006,141.500000,139.690002,141.500000,104.053818,5653100
2010-10-15,142.100006,142.100006,140.539993,141.059998,103.730217,7220400
2010-10-18,140.899994,143.029999,140.839996,142.830002,105.031837,10322700
2010-10-19,137.300003,139.339996,136.699997,138.029999,101.502090,14159100
2010-10-20,138.279999,139.869995,138.130005,139.070007,102.266861,6945500
2010-10-21,139.809998,140.490005,138.399994,139.830002,102.825752,6221200
2010-10-22,140.149994,140.750000,139.460007,139.669998,102.708115,4105300
2010-10-25,140.419998,141.399994,139.809998,139.839996,102.833076,4870000
2010-10-26,139.289993,142.000000,138.529999,140.669998,103.443443,7327100
2010-10-27,139.520004,141.570007,139.000000,141.429993,104.002312,6465300
2010-10-28,141.839996,141.949997,140.419998,140.899994,103.612564,5481600
2010-10-29,140.899994,144.000000,140.750000,143.600006,105.598053,8439300
2010-11-01,143.639999,144.259995,142.320007,143.320007,105.392128,5674600
2010-11-02,143.850006,144.710007,143.710007,143.839996,105.774506,4626400
2010-11-03,144.240005,144.460007,142.630005,144.169998,106.017189,5182100
2010-11-04,144.820007,146.839996,144.710007,146.789993,107.943871,6622500
2010-11-05,145.940002,146.929993,145.669998,146.919998,108.039429,4995800
2010-11-08,145.350006,146.580002,145.250000,146.460007,108.179779,4459700
2010-11-09,146.699997,147.529999,145.630005,146.139999,107.943436,5700600
2010-11-10,146.089996,146.789993,145.630005,146.550003,108.246284,5172000
2010-11-11,144.699997,145.500000,143.350006,145.429993,107.419006,4752200
2010-11-12,144.589996,145.770004,143.550003,143.740005,106.170723,4731500
2010-11-15,143.889999,144.750000,143.270004,143.639999,106.096840,3827700
2010-11-16,142.929993,143.380005,141.179993,142.240005,105.062767,6342100
2010-11-17,142.490005,142.490005,141.389999,141.949997,104.848579,4785900
2010-11-18,143.039993,144.990005,142.750000,144.360001,106.628654,4236200
2010-11-19,144.380005,145.350006,143.990005,145.050003,107.138329,5015900
2010-11-22,144.000000,145.429993,143.559998,145.389999,107.389427,3730700
2010-11-23,144.240005,144.529999,142.330002,143.179993,105.757103,4570300
2010-11-24,143.949997,146.440002,143.820007,145.809998,107.699677,4874100
2010-11-26,145.300003,145.300003,143.570007,143.899994,106.288879,2081300
2010-11-29,143.529999,143.669998,141.500000,142.889999,105.542870,5040300
2010-11-30,142.240005,142.759995,141.279999,141.460007,104.486664,7674800
2010-12-01,143.610001,145.130005,143.509995,144.410004,106.665627,6822800
2010-12-02,144.330002,145.850006,144.300003,145.179993,107.234329,5374000
2010-12-03,144.250000,145.679993,144.250000,145.380005,107.382088,3710600
2010-12-06,144.539993,145.869995,144.520004,144.990005,107.094009,3321800
2010-12-07,146.020004,146.300003,143.869995,144.020004,106.377548,4828600
2010-12-08,144.350006,145.649994,143.839996,144.979996,107.086639,4961400
2010-12-09,145.940002,145.940002,143.520004,144.300003,106.584343,4405300
2010-12-10,144.880005,144.949997,143.729996,144.820007,106.968460,3503800
2010-12-13,145.139999,145.399994,144.210007,144.279999,106.569603,4741000
2010-12-14,144.259995,146.009995,144.259995,145.820007,107.707108,4800800
2010-12-15,145.130005,145.720001,144.309998,144.720001,106.894554,4447400
2010-12-16,144.839996,145.320007,144.149994,144.550003,106.768982,4178600
2010-12-17,144.690002,145.500000,144.399994,145.000000,107.101379,10027000
2010-12-20,145.389999,145.539993,144.389999,144.509995,106.739426,3995000
2010-12-21,144.990005,145.990005,144.330002,145.740005,107.647987,3777100
2010-12-22,145.660004,146.399994,145.580002,145.949997,107.803070,3388800
2010-12-23,145.889999,146.330002,145.330002,145.889999,107.758774,2424500
2010-12-27,145.119995,145.699997,145.000000,145.339996,107.352524,2314700
2010-12-28,145.309998,146.149994,145.059998,145.710007,107.625832,2699600
2010-12-29,146.000000,147.500000,145.710007,146.520004,108.224121,3661100
2010-12-30,146.360001,147.110001,146.250000,146.669998,108.334892,3039100
2010-12-31,146.729996,147.070007,145.960007,146.759995,108.401382,2969800
